job_title,salary
مهندس مواد,8400.0
محلل مبرمج,8000.0
مدير مكتب,8000.0
أخصائي إعلامي,8000.0
أخصائي اضطرابات تخاطب,8000.0
مهندس كهربائي,7560.0
أخصائي ذكاء أعمال,7200.0
محلل بيانات,7200.0
مهندس مدني,7080.0
مهندس كيميائي,7000.0
أخصائي تدريب وتطوير موارد بشرية,7000.0
أخصائي أمن بيانات,7000.0
أخصائي تغذية,7000.0
أخصائي تقنية إشعاعية,7000.0
أخصائي علاج وظيفي,7000.0
مهندس ميكانيكي,6880.0
مهندس صناعي,6800.0
صيدلي,6650.0
مهندس تقنية معلومات,6500.0
مهندس معماري,6500.0
طبيب أسنان عام,6333.0
أخصائي بصريات,6292.0
مراقب مالي,6250.0
مدير إداري,6188.0
مدير فرع,6064.0
بائع كشك,6000.0
طبيب عام,6000.0
أخصائي مختبرات طبية,6000.0
مدير رقابة ادارية,6000.0
أخصائي أنشطة ثقافية,6000.0
سائق سيارة,6000.0
مهندس إنتاج,6000.0
مدير أشغال ومرافق عامة,5700.0
مشغل آلة صناعات كيميائية,5625.0
فارز بريدي,5625.0
فني أشعة,5600.0
معلم مرحلة متوسطة لغة عربية,5600.0
كاتب رواتب,5600.0
مدير حساب عميل,5500.0
أخصائي تمريض,5500.0
فني نظارات,5500.0
مساعد طب بيطري,5500.0
أمين متجر,5500.0
معلم ثانوي لغة عربية,5500.0
فني كهربائي أنظمة حماية كهربائية,5433.0
سكرتير تنفيذي,5417.0
أخصائي صحة وسلامة مهنية,5312.0
فني صيانة ميكانيكية,5300.0
معلم ابتدائي تربية فنية,5300.0
فني تغذية,5271.0
اخصائي دعم فني,5250.0
كيميائي,5250.0
مراقب خدمات عامة,5200.0
معد وجبات سريعة,5200.0
مهندس حاسب آلي,5200.0
أخصائي عمليات موارد بشرية,5173.0
فني كهربائي تمديدات كهربائية,5080.0
مشرف صحة وسلامة مهنية,5067.0
مدرس لغة أجنبية,5000.0
فني مختبر طبي,5000.0
فني تشغيل محطة غاز,5000.0
فني مواد إنشائية,5000.0
فني طرق,5000.0
مدير تدريب,5000.0
مدير إعلام رقمي,5000.0
فني تنقية مجاري صرف صحي,5000.0
محضر مختبر علوم,5000.0
فني جودة,5000.0
مصمم جرافيك,5000.0
مرشد طلابي,5000.0
معلم ثانوي رياضيات,5000.0
أخصائي أنشطة طلابية,5000.0
مساعد رعاية مرضى,5000.0
أخصائي استمرارية الأعمال,5000.0
أخصائي تأمين,5000.0
أخصائي مستودعات,5000.0
أمين مكتبة,5000.0
رسام خرائط,5000.0
مساح إحصائي,5000.0
مصمم وسائط متعددة,5000.0
معالج صحة فم وأسنان,5000.0
معلم ابتدائي حاسب آلي,5000.0
فني تدفئة وتهوية وتكييف,4975.0
محاسب,4965.0
مشرف موقع إنشائي,4935.0
مساعد طبيب أسنان,4917.0
أخصائي خدمة عملاء,4900.0
أخصائي تسويق,4848.0
مهندس معماري داخلي,4833.0
معلم ابتدائي لغة أجنبية,4800.0
سائق شاحنة صغيرة,4800.0
محامي,4750.0
فني دعم تقنية معلومات,4750.0
أخصائي علاج طبيعي,4688.0
أمين مخزن,4688.0
أخصائي قانوني,4667.0
أخصائي مبيعات,4643.0
فني ميكانيكي محركات,4594.0
معلم ثانوي كيمياء,4500.0
ميكانيكي سيارات,4500.0
مشرف مدخلي البيانات,4500.0
مراقب كاميرات أمنية,4500.0
مصمم إعلان,4500.0
محلل نظم المعلومات,4500.0
وسيط عقاري,4500.0
بائع مباشر,4500.0
صراف عملات,4500.0
فني صيانة أجهزة إلكترونية,4500.0
فني تمريض,4500.0
فني أجهزة طبية,4500.0
أخصائي سمعيات,4500.0
فني كهربائي شبكات توزيع هوائية,4500.0
بائع مأكولات ومشروبات,4456.0
مشغل آلة تعبئة منتجات كيميائية,4375.0
بائع هاتفي,4333.0
أمين صندوق,4333.0
مساعد صحي,4333.0
محضر أطعمة باردة,4333.0
بائع قطع غيار مركبات,4333.0
مشرف صيانة,4333.0
مساعد إداري,4313.0
كاتب موارد بشرية,4312.0
محصل,4300.0
نادل,4253.0
فني هندسة ميكانيكية,4250.0
فني هندسة كهربائية,4250.0
سكرتير,4239.0
مندوب مبيعات,4235.0
مدخل بيانات,4234.0
كاتب علاقات حكومية,4189.0
أخصائي جودة,4170.0
مشرف تنظيف وتدبير,4167.0
موظف استقبال,4166.0
بائع,4157.0
عامل تصنيع,4121.0
